id,is_structure,is_company,partner_type,name,category_id/id,struct_date_begin,struct_date_end,structure_capacity,city,country_id/id,email,mobile,phone,website,facebook,instagram,comment
festival_15,1,1,festival,Convinvencia,partner_category_type.festival_tag,2020-06-30,2020-07-28,sup1k,Toulouse,base.fr,,,,https://convivencia.eu/festival-convivencia/,https://www.facebook.com/ConvivenciaFestival/,,Entre Toulouse et Montpellier le long du canal du Midi.
festival_16,1,1,festival,Festival Kokopelli,partner_category_type.festival_tag,2020-07-03,2020-07-05,sup1k,Le Mas-d'Azil,base.fr,,,,https://festival-kokopelli.fr/,,,
festival_17,1,1,festival,Toulouse D'Été,"partner_category_type.festival_tag,partner_structure.municipality_tag",2020-07-04,2020-07-28,sup1k,Toulouse,base.fr,,,,https://toulousedete.org,https://www.facebook.com/ToulouseDete/,,
festival_18,1,1,festival,Au Foin De La Rue,partner_category_type.festival_tag,2020-07-05,,sup10k,St-Denis-de-Gastines,base.fr,,,,https://www.aufoindelarue.com,https://www.facebook.com/aufoindelarue/,,
festival_19,1,1,festival,Surgères Brass festival,"partner_category_type.festival_tag,partner_structure.acoustic_tag",2020-07-16,2020-07-19,sup5k,Surgères,base.fr,,,,http://surgeresbrassfestival.com,https://www.facebook.com/surgeresbrassfestival/,,
festival_20,1,1,festival,Calvi on the Rocks,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-07-05,,sup10k,Calvi,base.fr,,,,http://www.calviontherocks.com,https://www.facebook.com/calviontherocks/,,
festival_21,1,1,festival,Musicalarue,partner_category_type.festival_tag,2020-08-15,,sup30k,Luxey,base.fr,,,,http://www.musicalarue.com,https://www.facebook.com/musicalarue/,,
festival_22,1,1,festival,Dour Festival,partner_category_type.festival_tag,2020-07-15,,sup100k,Dour,base.be,,,,https://www.dourfestival.eu/fr/,https://www.facebook.com/dourfestival/,,
festival_23,1,1,festival,Plage de Rock,partner_category_type.festival_tag,2020-07-16,2020-08-07,sup10k,St-Tropez,base.fr,,,,http://www.plagederock.com,https://www.facebook.com/plagederock/,,
festival_24,1,1,festival,Outre Festival,partner_category_type.festival_tag,2020-06-28,2020-06-30,sup1k,Wissembourg,base.fr,,,,http://outrefestival.fr/,https://www.facebook.com/outrefestival/,,
festival_25,1,1,festival,Créa’Parc,partner_category_type.festival_tag,2020-06-21,2020-06-22,sup1k,Châtillon,base.fr,,,,https://www.creaparcfestival.com,https://www.facebook.com/creaparcfestival/,,
festival_26,1,1,festival,Fête du Cognac,partner_category_type.festival_tag,2020-07-23,2020-07-25,sup5k,Cognac,base.fr,,,,https://lafeteducognac.fr,https://www.facebook.com/feteducognac/,https://www.instagram.com/lafeteducognac/,
festival_27,1,1,festival,ESPERANZAH!,partner_category_type.festival_tag,2020-08-02,2020-08-04,sup30k,Abbaye de Floreffe,base.be,,,,https://www.esperanzah.be,https://www.facebook.com/FestivalEsperanzah/,,
festival_28,1,1,festival,Décibulles,partner_category_type.festival_tag,2020-07-10,2020-07-12,sup10k,Mulhouse,base.fr,,,,https://www.decibulles.com/,https://fr-fr.facebook.com/decibulles/,,
festival_29,1,1,festival,Festival des Hauts de Garonne,partner_category_type.festival_tag,2020-07-03,2020-07-12,sup1k,Cenon,base.fr,,,,https://lerocherdepalmer.fr/hautsdegaronne/2019.php,,,
festival_30,1,1,festival,Afro Banana Republic,partner_category_type.festival_tag,2020-07-15,2020-07-19,sup1k,Gialiá,base.cy,,,,http://www.afrobananarepublic.com/,https://www.facebook.com/TheAfroBananaRepublic,,
festival_31,1,1,festival,Au Pont du Rock,partner_category_type.festival_tag,2020-08-02,2020-08-03,sup30k,Malestroit,base.fr,,,,https://www.aupontdurock.com/,https://www.facebook.com/festival.aupontdurock/,,
festival_32,1,1,festival,Nuits Secrètes,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-07-24,2020-07-26,sup30k,Aulnoye-Aymeries,base.fr,,,,https://www.lesnuitssecretes.com/,https://www.facebook.com/festivalnuitssecretes/,,
festival_33,1,1,festival,Pointu Festival,partner_category_type.festival_tag,2020-07-06,2020-07-07,sup10k,Six-Fours-la-Plage,base.fr,,,,https://www.pointufestival.fr/,https://www.facebook.com/pointufestival/,https://www.instagram.com/pointufestival/,
festival_34,1,1,festival,Jazz à Vienne,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-06-28,2020-07-13,sup5k,Vienne,base.fr,,,,https://www.jazzavienne.com,https://www.facebook.com/jazzavienne/,,
festival_35,1,1,festival,Musiques Métisses,partner_category_type.festival_tag,2020-05-29,2020-05-31,sup5k,Angoulême,base.fr,,,,http://www.musiques-metisses.com/,https://www.facebook.com/MusiquesMetisses/,,
festival_36,1,1,festival,Jazz à Luz,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-07-12,2020-07-15,sup1k,Luz-Saint-Sauveur,base.fr,,,,https://www.jazzaluz.com/,https://www.facebook.com/festivaljazzaluz/,,
festival_37,1,1,festival,Papillons de Nuit,partner_category_type.festival_tag,2020-06-07,,sup30k,Saint-Pois,base.fr,,,,https://papillonsdenuit.com,https://www.facebook.com/papillonsdenuit,,
festival_38,1,1,festival,Festival de Thau,partner_category_type.festival_tag,2020-07-15,,sup10k,Mèze,base.fr,,,,,https://www.facebook.com/festivaldethau/,,
festival_39,1,1,festival,Nuits Sonores,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-05-20,2020-05-24,sup30k,Lyon,base.fr,,,,https://www.nuits-sonores.com/,https://www.facebook.com/nuitssonores.festival/,https://www.instagram.com/Nuits_sonores/,
festival_40,1,1,festival,Ardèche Aluna,partner_category_type.festival_tag,2020-06-25,,sup30k,Ruoms,base.fr,,,,https://aluna-festival.fr/,https://www.facebook.com/ARDECHEALUNAFESTIVAL,https://www.instagram.com/ardeche_alunafestival/,
festival_41,1,1,festival,Marsatac,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-06-15,,sup10k,Marseille,base.fr,,,,https://www.marsatac.com/annexes/contact/,https://www.facebook.com/festivalmarsatac/,https://www.instagram.com/marsatac/,
festival_42,1,1,festival,Music to Rock the Nation,partner_category_type.festival_tag,2020-05-25,,sup1k,Paris,base.fr,,,,http://loreille-dauphine.com/nos-festivals/mrn/,https://www.facebook.com/musictorockthenation/,,
festival_43,1,1,festival,La 7ème Vague,partner_category_type.festival_tag,2020-05-22,2020-05-23,sup5k,Brétignolles-sur-Mer,base.fr,,,,https://7vague.com/,https://www.facebook.com/la7vague/,,
festival_44,1,1,festival,Fête du Bruit,"partner_category_type.festival_tag,partner_structure.acoustic_tag",2020-07-06,2020-07-07,sup10k,Landerneau,base.fr,,,,https://landerneau.festival-fetedubruit.com,,,https://stnolff.festival-fetedubruit.com
festival_45,1,1,festival,Festival Ecaussystème,partner_category_type.festival_tag,2020-07-31,2020-08-02,sup30k,Gignac,base.fr,,,,https://www.ecaussysteme.com/,https://www.facebook.com/festivalecaussysteme/,,
festival_46,1,1,festival,Les Plages Electroniques,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-08-07,2020-08-09,sup10k,Cannes,base.fr,,,,https://www.plages-electroniques.com/,,,
festival_47,1,1,festival,Festival de Poupet,partner_category_type.festival_tag,2020-07-01,2020-07-31,sup10k,St Malo du Bois,base.fr,,,,https://www.festival-poupet.com,,,
festival_48,1,1,festival,Loupoulo Festival,partner_category_type.festival_tag,2020-06-06,2020-06-09,sup1k,Balazuc,base.fr,,,,,https://www.facebook.com/events/2393068470931016/,,
festival_50,1,1,festival,Complètement Gaga,"partner_category_type.festival_tag,partner_structure.acoustic_tag,partner_structure.small_fee_tag",2020-05-07,,sup1k,Saint-Etienne,base.fr,,,,,https://www.facebook.com/FestivalCompletementGaga,,
festival_52,1,1,festival,Sur Les Pointes,partner_category_type.festival_tag,2020-05-07,2020-06-19,sup5k,Vitry-sur-seine,base.fr,,,,https://www.surlespointes.fr/,https://www.facebook.com/lespointes.festi,https://www.instagram.com/festivalsurlespointes/,
festival_53,1,1,festival,Les Tempos du Monde,partner_category_type.festival_tag,2020-05-29,2020-05-31,sup5k,St Paul les Dax,base.fr,,,,http://www.temposdumonde.com/,https://www.facebook.com/temposdumondefestival/,,
festival_54,1,1,festival,Un été au Havre,"partner_category_type.festival_tag,partner_structure.municipality_tag,partner_structure.acoustic_tag",2020-06-25,2020-07-31,sup5k,Le Havre,base.fr,,,,,https://www.facebook.com/UnEteAuHavre/,,
festival_55,1,1,festival,Sensitive Festival,partner_category_type.festival_tag,2020-06-27,,inf1k,Cahuzac-sur-Vère,base.fr,,,,https://sensitivefestival.com/,https://www.facebook.com/sensitivefestival/,,
festival_56,1,1,festival,Foreztival,partner_category_type.festival_tag,2020-07-31,2020-08-02,sup30k,Trelins,base.fr,,,,http://www.foreztival.com,https://www.facebook.com/foreztival,,
festival_57,1,1,festival,Festival du Monastier,"partner_category_type.festival_tag,partner_structure.acoustic_tag",2020-08-07,2020-08-09,sup5k,Le Monastie,base.fr,,,,http://www.festivaldumonastier.fr/,,,
festival_58,1,1,festival,Kleg,partner_category_type.festival_tag,2020-08-07,2020-08-15,sup1k,Cléguérec,base.fr,,,,http://bfi2.fr/en-arwen/,,,
festival_59,1,1,festival,Jazz sous les pommiers,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-05-08,2020-05-10,sup1k,Coutances ,base.fr,,,,http://www.jazzsouslespommiers.com/,,,
festival_60,1,1,festival,Bout du Monde,"partner_category_type.festival_tag,partner_structure.acoustic_tag",2020-05-16,2020-05-23,sup30k,Crozon,base.fr,,,,,https://www.facebook.com/festivalduboutdumonde/,,
festival_61,1,1,festival,Bilbao BBK Live,partner_category_type.festival_tag,2020-08-01,,sup100k,Bilbao,base.es,,,,https://www.bilbaobbklive.com/es/contacto/,https://www.facebook.com/bilbaobbkliveoficial/,,
festival_62,1,1,festival,JAZZ:RE:FOUND,"partner_category_type.festival_tag,partner_structure.jazz_tag",2020-07-09,,sup1k,Cella Monte,base.it,,,,https://jazzrefound.it/,https://www.facebook.com/Jazzrefound/,,
festival_63,1,1,festival,Rio Loco,partner_category_type.festival_tag,2020-06-20,,sup10k,Toulouse,base.fr,,,,https://www.rio-loco.org/,https://www.facebook.com/Festival-Rio-Loco-OFFICIEL-74724253550/,https://www.instagram.com/rio_loco/,
festival_64,1,1,festival,Art Rock,partner_category_type.festival_tag,2020-06-15,,sup30k,Saint-Brieuc,base.fr,,,,https://www.artrock.org/,https://www.facebook.com/FestivalArtRock/,,
festival_65,1,1,festival,Chausse Tes Tongs,partner_category_type.festival_tag,2020-06-07,,sup10k,Trévou-Tréguignec,base.fr,,,,https://www.festival-chausse-tes-tongs.com,https://www.facebook.com/Chaussetestongs/,,
festival_66,1,1,festival,Soleils Bleus,partner_category_type.festival_tag,2020-08-08,2020-08-11,sup5k,Saint-Herblain,base.fr,,,,http://www.theatreonyx.fr/programme/festival/soleils-bleus-2019,,,
festival_67,1,1,festival,Yzeures’n rock,partner_category_type.festival_tag,2020-07-04,2020-07-09,sup10k,Yzeures-sur-Creuse,base.fr,,,,http://yzeuresnrock.com/,https://www.facebook.com/FestivalYzeuresnrock/,,
festival_68,1,1,festival,Festival de la Cité,partner_category_type.festival_tag,2020-08-02,2020-08-04,sup30k,Lausanne,base.ch,,,,http://festivalcite.ch,https://www.facebook.com/festivaldelacite/,,
festival_69,1,1,festival,Windcraft Music Fest,partner_category_type.festival_tag,2020-07-09,2020-07-14,sup1k,Katydata,base.cy,,,,http://www.windcraftmusicfest.com/,https://www.facebook.com/windcraftmusicfest/,,
festival_70,1,1,festival,Vida Festival,partner_category_type.festival_tag,2020-08-08,,sup30k,Barcelona,base.es,,,,http://www.en.vidafestival.com/vida-news,https://www.facebook.com/vidafestival/,,
festival_71,1,1,festival,Fêtes Escales de Vénissieux,"partner_category_type.festival_tag,partner_structure.municipality_tag",2020-07-02,,sup1k,Vénissieux,base.fr,,,,https://www.ville-venissieux.fr/fetesescales,https://www.facebook.com/fetes.escales/,,
festival_72,1,1,festival,Regard neuf 3,"partner_category_type.festival_tag,partner_structure.municipality_tag",2020-07-12,2020-07-14,inf1k,Seine Saint-Denis,base.fr,,,,https://regardneuf3.fr,https://www.facebook.com/Regardneuf3/,,
festival_73,1,,festival,Florence Abroad Music Experience,partner_category_type.festival_tag,2020-02-20,,sup5k,Florence,base.it,info@fameflorence.com,,+39 366 892 5168  ,http://www.fameflorence.com,,,
festival_74,1,,festival,Les an'ARTS Chroniques,partner_category_type.festival_tag,2020-08-20,2020-08-22,,Bourmont,base.fr,,,,,,,
festival_75,1,,festival,Montreal International Jazz Festival,partner_category_type.festival_tag,2020-06-25,2020-07-05,sup10k,Montreal,base.ca,Joakim.Morin@equipespectra.ca,,+514 525 7732 ,https://www.montrealjazzfest.com/,,,
festival_76,1,,festival,Les 24h de l'INSA,partner_category_type.festival_tag,2021-05-21,2021-05-23,sup1k,Villeurbanne,base.fr,,,+33 4 72 43 70 00,https://www.24heures.org,,,
festival_77,1,,festival,Iboga Summer Festival,partner_category_type.festival_tag,2020-07-22,2020-07-25,sup10k,Tavernes de la Valldigna,base.es,,, ,https://ibogasummerfestival.com/,,,
festival_78,1,,festival,Neversea,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-07-02,2020-07-05,sup30k,Constanta,base.ro,ask@neversea.com,,,https://www.neversea.com/,,,
festival_79,1,,festival,Primavera Sound,partner_category_type.festival_tag,2020-06-02,2020-06-05,sup30k,Barcelona,base.es,info@primaverasound.com,,,,,,
festival_80,1,,festival,Elysium Island,"partner_category_type.festival_tag,partner_structure.electro_tag",2020-07-29,2020-08-02,sup10k,Sremski Karlovci,base.rs,elysium.island.festival@gmail.com,,,,,,
festival_81,1,,festival,Low Festival,partner_category_type.festival_tag,2021-07-30,2021-08-01,sup30k,Benidorm,base.es,info@lowfestival.es,,,http://lowfestival.es,,,
festival_82,1,,festival,Exit  Festival,partner_category_type.festival_tag,,,,Novi Sad,base.rs,answerme@exitfest.org,,,http://www.exitfest.org,,,
festival_83,1,,festival,Saga Festival,partner_category_type.festival_tag,,,,Bucarest,base.ro,info@sagafestival.com,,,https://www.facebook.com/SAGAFestivalOfficial,,,
festival_84,1,,festival,Audio Garden,partner_category_type.festival_tag,,,,Burtown,base.ie,audiogardenfestival@gmail.com,,,http://www.audiogarden.ie,,,
festival_85,1,,festival,Cosmic Roots,partner_category_type.festival_tag,,,,Norfolk,base.uk,info@cosmicroots.co.uk,,,http://www.cosmicroots.co.uk,,,
festival_86,1,,festival,Ultra Europe,"partner_category_type.festival_tag,partner_structure.electro_tag",,,,Split-Dalmatie,base.hr,info@ultraeurope.com,,,http://ultraeurope.com/,,,
festival_87,1,,festival,Summer Sound,partner_category_type.festival_tag,,,,liepaja,base.lv,info@summersound.lv,,,http://summersound.lv/,,,
festival_88,1,,festival,Wurzelfestival,partner_category_type.festival_tag,2020-06-13,,sup1k,Niedergörsdorf,base.de,d.fiedler@fresh-music-records.de,,493414825039,http://www.wurzelfestival.de,,,
festival_89,1,,festival,Wazemmes l'Accordéon,partner_category_type.festival_tag,,,sup5k,Lille,base.fr,,,,https://www.flonflons.eu/wazemmes-l-accordeon/,,,
festival_90,1,,festival,Muna Open Air,partner_category_type.festival_tag,2020-06-14,,,Bad Klosterlausnitz,base.de,marcel@paracou.de,,,http://www.paracou.de,,,
festival_91,1,,festival,Feel Festival,partner_category_type.festival_tag,,,,Lichterfeld-Schacksdorf,base.de,booking@feel-festival.de,,,https://feel-festival.de/en/,,,
